Model,Train Accuracy,Validation Accuracy,Test Accuracy,Training Time (s)
sklearn SVM,0.8849471021159153,0.8425302826379543,0.8408053691275168,640.9677288532257
Gradient Descent,0.8348091076356946,0.8296096904441453,0.8391946308724832,146.19975566864014
Subgradient Descent,0.8227345906163753,0.8223418573351279,0.8198657718120805,69.11479663848877
